Each line is a list of features, in the following order: generator degree statistics (min, max, mean, variance), number of pure power lead terms in generators, followed by any on-demand features in the order provided in the list SaveFeatures. 
10,15,14,4,5,3,30,28
12,15,14,6/5,5,3,40,29
13,15,73/5,16/25,5,4,1,23
15,15,15,0,5,3,52,29
12,15,14,8/5,5,3,10,40
11,15,67/5,66/25,5,3,32,24
12,15,67/5,36/25,5,3,23,29
14,15,73/5,6/25,5,3,18,34
13,15,69/5,14/25,5,3,27,28
12,13,62/5,6/25,5,3,39,23
12,15,68/5,36/25,5,4,1,23
13,15,71/5,14/25,5,3,72,22
12,15,14,6/5,5,4,1,33
13,15,68/5,16/25,5,3,13,38
13,15,69/5,14/25,5,3,19,26
13,15,71/5,14/25,5,3,54,30
12,15,69/5,54/25,5,4,1,33
12,15,14,6/5,5,3,31,33
12,15,14,8/5,5,4,1,26
11,15,14,12/5,5,3,32,39
13,15,71/5,14/25,5,3,28,27
15,15,15,0,5,3,43,29
12,15,71/5,34/25,5,4,2,26
13,15,71/5,14/25,5,3,20,82
11,14,64/5,34/25,5,3,23,29
13,15,72/5,16/25,5,4,1,25
13,15,73/5,16/25,5,3,37,37
14,15,74/5,4/25,5,3,34,27
11,15,66/5,54/25,5,4,1,32
12,15,14,8/5,5,3,24,27
13,15,71/5,14/25,5,4,1,26
12,15,69/5,34/25,5,3,41,29
11,15,64/5,54/25,5,3,10,27
11,15,69/5,64/25,5,3,25,22
14,15,73/5,6/25,5,3,22,32
12,15,69/5,34/25,5,3,11,88
12,15,71/5,34/25,5,3,45,27
10,15,13,14/5,5,3,36,27
14,15,72/5,6/25,5,4,1,31
13,15,71/5,14/25,5,4,1,25
12,15,14,6/5,5,3,32,34
11,15,66/5,64/25,5,3,26,33
13,15,71/5,14/25,5,3,46,23
13,15,69/5,14/25,5,4,1,26
12,14,13,4/5,5,3,36,26
12,15,14,8/5,5,4,1,19
12,15,72/5,36/25,5,3,40,29
13,15,72/5,16/25,5,3,59,25
13,15,71/5,14/25,5,3,25,28
10,15,67/5,86/25,5,3,38,72
